size,bedrooms,bathrooms,location_score,year_built,lot_size,price
2248.3570765056165,3,3,6.938307853723832,1973,3673.5375736943706,647781.811113108
1930.8678494144076,4,3,2.096763500644604,1981,6022.632915558258,524973.0573242346
2323.844269050346,5,3,2.0313890087299353,2010,6234.762485841227,605555.3952308416
2761.514928204013,2,3,6.275303286242016,1991,4234.546260585725,615578.0564007038
1882.923312638332,3,2,9.025139881167087,1951,2561.3789097464523,555914.8038827279
1882.9315215254096,4,2,7.710662843282542,1982,4404.418109652927,605055.8615589314
2789.6064077536957,4,3,8.24235359793899,1963,5859.985814610893,684193.9361452216
2383.717364576454,2,2,2.795174009897326,1995,5150.7921697905485,565137.9451406804
1765.262807032524,2,1,5.580117955361645,2005,7300.326918639039,512956.54826752964
2271.2800217929826,4,2,8.960333774116451,1973,6815.604290691801,610600.3944886076
1768.291153593769,4,3,9.427878292013942,2005,4760.590988335278,546641.7851374379
1767.1351232148716,5,3,1.5133221532212717,1962,3019.016733132309,468007.6578035747
2120.981135783017,2,2,2.435301399117976,1989,3721.3024082572647,470740.48118992965
1043.359877671101,2,1,1.9291377863585557,1955,3893.921001173272,298072.7317418258
1137.5410837434836,5,1,2.5251718087525186,1978,2659.3162166747506,494961.03092090745
1718.8562353795137,2,3,2.4161137284695515,1989,5095.4277411225585,423824.5584345557
1493.5844398327881,1,1,5.2711545008861584,1992,6796.162027831955,350825.0508935168
2157.123666297637,3,3,4.011364132659293,2016,5383.768952401614,617700.3094834795
1545.9879622393946,1,3,1.7247911986089222,1973,4224.650164049069,420542.77584761626
1293.8481493323543,2,1,3.902431417078442,1972,7908.0855488959205,365587.9288032382
2732.824384460777,5,3,9.105965332370534,2001,5986.1458722729685,774156.790669987
1887.1118497567322,4,2,5.16342724668872,1993,4875.571734238921,533578.1229236579
2033.764102343962,2,2,7.617402728619238,1992,5929.385657592598,666193.2752205438
1287.6259068932716,4,2,3.16173326541196,1999,4976.014254804119,494439.5800294742
1727.8086377374086,3,2,5.1930161098592675,1952,2305.499759527984,449718.1732552015
2055.461294854933,1,2,8.952134589491095,2017,2733.716225966808,629250.0294678134
1424.5032112888484,3,2,9.068475967852269,1965,4547.616903052807,454239.3598574286
2187.849009172836,4,2,2.348903600352986,1955,5252.303507611144,493745.32328417845
1699.6806550405975,3,3,4.023045104295094,2005,6313.275805588479,496889.8318605531
1854.1531251033616,4,3,4.063376135250459,2021,3293.070742240977,512322.4057223372
1699.1466938853016,1,2,3.6227317058719004,1951,5489.088824036096,413291.7550951156
2926.139092254469,4,1,4.727728591564858,1969,8143.744768654633,863709.6262820462
1993.2513876310331,1,1,5.196099487480975,1957,3908.4198558875523,312896.18380276766
1471.1445355220499,2,1,5.761080978694649,2007,6080.281121188423,426413.1600190568
2411.2724560515944,4,3,1.3819805455301455,2008,7630.943805497847,567501.3371273174
1389.5781750144888,3,1,3.1012583240494016,2015,6843.849694241482,532900.5391791684
2104.431797502378,5,2,6.81130335701221,1976,3290.0396520125587,636628.0785323948
1020.1649380601123,3,1,6.976888665253779,2021,3981.435508517675,361605.26941502164
1335.9069755507849,5,3,6.4675094378516915,2014,5167.056149454574,518720.59807057824
2098.4306179345617,3,1,2.8518323733892306,1980,4777.800931557986,605711.1942507477
2369.2332899977055,4,1,4.757920347912542,2006,3879.4104328692656,635491.9795172641
2085.6841405949854,2,2,5.725608388996131,1985,6449.00915243573,469445.86281004956
1942.1758588058797,4,1,2.558277835277267,2018,-267.160914807263,552001.1642306607
